Id,Label,Title,DepartmentType,BusinessUnit,GenderCode,Performance Score
1,Michael Riordan,Area Sales Manager,Sales,CCDR,Male,Fully Meets
2,Maruk Fraval,Area Sales Manager,Sales,BPC,Male,Fully Meets
3,Sharlene Terry,Area Sales Manager,Sales,CCDR,Female,Fully Meets
4,Xana Potts,Area Sales Manager,Sales,CCDR,Female,Fully Meets
5,Kaylah Moon,Area Sales Manager,IT/IS,PYZ,Male,Exceeds
6,Reid Park,Area Sales Manager,Sales,PL,Female,Exceeds
7,Carlee French,Area Sales Manager,Sales,TNS,Male,Exceeds
8,Leon Beard,Area Sales Manager,IT/IS,PYZ,Male,Needs Improvement
9,Cory Robinson,Area Sales Manager,Sales,BPC,Female,Needs Improvement
10,Saniya Yu,Area Sales Manager,Sales,CCDR,Male,Exceeds
11,Alisa James,Area Sales Manager,Sales,SVG,Male,Fully Meets
12,Aliana Nolan,Area Sales Manager,Sales,MSC,Male,Needs Improvement
13,James Duke,Area Sales Manager,Sales,PYZ,Male,Needs Improvement
14,Willow Stuart,Area Sales Manager,Sales,WBL,Male,Needs Improvement
15,Clayton Walker,Area Sales Manager,IT/IS,PYZ,Male,Exceeds
16,Ryland Shepherd,Area Sales Manager,Sales,PL,Female,Needs Improvement
17,Nevaeh Soto,Area Sales Manager,Sales,SVG,Male,Exceeds
18,Sonny Horne,Area Sales Manager,IT/IS,PYZ,Female,Needs Improvement
19,Albert Gonzalez,Area Sales Manager,Sales,EW,Male,Fully Meets
20,Jaiden Johnson,Area Sales Manager,Sales,MSC,Male,Fully Meets
21,Willie Patterson,Area Sales Manager,Sales,CCDR,Female,Fully Meets
22,Lennon Buchanan,Area Sales Manager,Sales,NEL,Male,Fully Meets
23,Vicente Merritt,Area Sales Manager,Sales,PL,Male,Fully Meets
24,Hugo Clay,Area Sales Manager,Sales,PYZ,Male,Fully Meets
25,Cohen Raymond,Area Sales Manager,Sales,SVG,Male,Fully Meets
26,Joel Mcmillan,Area Sales Manager,Sales,PYZ,Female,Fully Meets
27,Ivan Huff,Area Sales Manager,Sales,TNS,Male,Fully Meets
28,Cruz Boyer,Area Sales Manager,Sales,BPC,Female,Fully Meets
29,Raven Koch,Area Sales Manager,Sales,PYZ,Female,Fully Meets
30,Karli Barker,Area Sales Manager,Sales,WBL,Female,Fully Meets
